"date","fips","mmwr_week","recip_county","recip_state","series_complete_pop_pct","series_complete_yes","series_complete_12plus","series_complete_12pluspop","series_complete_18plus","series_complete_18pluspop","series_complete_65plus","series_complete_65pluspop","completeness_pct","administered_dose1_recip","administered_dose1_pop_pct","administered_dose1_recip_12plus","administered_dose1_recip_12pluspop_pct","administered_dose1_recip_18plus","administered_dose1_recip_18pluspop_pct","administered_dose1_recip_65plus","administered_dose1_recip_65pluspop_pct","svi_ctgy","series_complete_pop_pct_svi","series_complete_12pluspop_pct_svi","series_complete_18pluspop_pct_svi","series_complete_65pluspop_pct_svi"
"2021-08-23T00:00:00.000","01037","34","Coosa County","AL","30.6","3262","3262","34.2","3191","35.8","1456","56.7","92","4102","38.5","4102","43.0","3991","44.8","1705","66.4","Mod-High","Low-Mod VC/Mod-High SVI","Low-Mod VC/Mod-High SVI","Low-Mod VC/Mod-High SVI","Mod-High VC/Mod-High SVI"
"2021-08-23T00:00:00.000","42053","34","Forest County","PA","65.3","4735","4735","68.8","4699","72.6","1277","77.3","93.8","5058","69.8","5058","73.5","5015","77.5","1380","83.6","Mod-High","High VC/Mod-High SVI","High VC/Mod-High SVI","High VC/Mod-High SVI","High VC/Mod-High SVI"
"2021-08-23T00:00:00.000","08067","34","La Plata County","CO","60.5","33995","33916","68.6","31986","69.9","8903","86.9","97.4","36994","65.8","36884","74.6","34598","75.6","9453","92.2","Low","High VC/Low SVI","High VC/Low SVI","High VC/Low SVI","High VC/Low SVI"
"2021-08-23T00:00:00.000","17117","34","Macoupin County","IL","41","18425","18406","47.2","17630","49.7","6975","76.3","97.7","23328","51.9","23291","59.8","22150","62.5","8434","92.2","Low","Mod-High VC/Low SVI","Mod-High VC/Low SVI","Mod-High VC/Low SVI","High VC/Low SVI"
"2021-08-23T00:00:00.000","37035","34","Catawba County","NC","42.3","67498","67441","49.2","64233","51.5","23717","81.3","96.3","77199","48.4","77105","56.2","72897","58.5","24921","85.5","Mod-High","Mod-High VC/Mod-High SVI","Mod-High VC/Mod-High SVI","High VC/Mod-High SVI","High VC/Mod-High SVI"
"2021-08-23T00:00:00.000","21087","34","Green County","KY","33.5","3669","3669","38.6","3587","41.3","1493","64.7","93.4","4108","37.5","4108","43.3","3989","45.9","1560","67.6","Mod-High","Low-Mod VC/Mod-High SVI","Low-Mod VC/Mod-High SVI","Mod-High VC/Mod-High SVI","Mod-High VC/Mod-High SVI"
"2021-08-23T00:00:00.000","UNK","34","Unknown County","MH","0","18188","18178","0.0","18153","0","1049","0","0","21093","0","21071","0.0","21019","0","1225","0",,,,,
"2021-08-23T00:00:00.000","27171","34","Wright County","MN","42.7","59045","58915","51.8","55089","55.1","15113","84.1","94.4","65199","47.1","65005","57.2","60357","60.3","15941","88.7","Low","Mod-High VC/Low SVI","High VC/Low SVI","High VC/Low SVI","High VC/Low SVI"
"2021-08-23T00:00:00.000","46083","34","Lincoln County","SD","37.3","22793","22793","45.8","21054","47.6","4222","51.6","83.8","23088","37.8",,"0.0",,"0",,"0","Low","Low-Mod VC/Low SVI","Mod-High VC/Low SVI","Mod-High VC/Low SVI","Mod-High VC/Low SVI"
"2021-08-23T00:00:00.000","54027","34","Hampshire County","WV","20.6","4764","4759","23.1","4655","24.5","1916","35.3","57.8","5881","25.4","5873","28.5","5713","30.1","2185","40.2","Mod-High","Low VC/Mod-High SVI","Low VC/Mod-High SVI","Low VC/Mod-High SVI","Low-Mod VC/Mod-High SVI"
